"","Player","Season","Cluster"
"115","Derek Anderson","2004-05",19
"116","Derek Fisher","2004-05",9
"117","DerMarr Johnson","2004-05",18
"118","Derrick Coleman","2004-05",20
"119","DeSagana Diop","2004-05",20
"120","DeShawn Stevenson","2004-05",2
"121","Desmond Mason","2004-05",2
"122","Devean George","2004-05",10
"123","Devin Brown","2004-05",15
"124","Devin Harris","2004-05",18
"125","Dikembe Mutombo","2004-05",23
"126","Dion Glover","2004-05",18
"127","Dirk Nowitzki","2004-05",4
"128","DJ Mbenga","2004-05",20
"129","Donnell Harvey","2004-05",6
"130","Donta Smith","2004-05",3
"131","Donyell Marshall","2004-05",17
"132","Dorell Wright","2004-05",19
"133","Doug Christie","2004-05",21
"134","Drew Gooden","2004-05",16
"135","Dwight Howard","2004-05",23
"136","Dwyane Wade","2004-05",24
"137","Earl Boykins","2004-05",2
"138","Earl Watson","2004-05",18
"139","Eddie Gill","2004-05",18
"140","Eddie Griffin","2004-05",17
"141","Eddie House","2004-05",13
"142","Eddie Jones","2004-05",10
"143","Eddy Curry","2004-05",16
"144","Eduardo Najera","2004-05",20
"145","Elden Campbell","2004-05",16
"146","Elton Brand","2004-05",16
"147","Emeka Okafor","2004-05",16
"148","Eric Piatkowski","2004-05",10
"149","Eric Snow","2004-05",21
"150","Eric Williams","2004-05",3
"151","Erick Dampier","2004-05",23
"152","Erick Strickland","2004-05",8
"153","Erik Daniels","2004-05",20
"154","Ervin Johnson","2004-05",7
"155","Etan Thomas","2004-05",23
"156","Francisco Elson","2004-05",20
"157","Frank Williams","2004-05",21
"158","Fred Hoiberg","2004-05",18
"159","Fred Jones","2004-05",18
"160","Gary Payton","2004-05",18
"161","Geno Carlisle","2004-05",24
"162","George Lynch","2004-05",21
"163","Gerald Wallace","2004-05",3
"164","Gilbert Arenas","2004-05",9
"165","Glenn Robinson","2004-05",22
"166","Gordan Giricek","2004-05",2
"167","Grant Hill","2004-05",22
"168","Greg Buckner","2004-05",18
"169","Greg Ostertag","2004-05",7
"170","Ha Seung-Jin","2004-05",20
"171","Hedo Turkoglu","2004-05",9
"172","Horace Jenkins","2004-05",2
"173","Howard Eisley","2004-05",19
"174","Ibrahim Kutluay","2004-05",21
"175","Ira Newble","2004-05",21
"176","J.R. Smith","2004-05",9
"177","Jabari Smith","2004-05",12
"178","Jackie Butler","2004-05",1
"179","Jackson Vroman","2004-05",23
"180","Jacque Vaughn","2004-05",21
"181","Jahidi White","2004-05",6
"182","Jake Tsakalidis","2004-05",20
"183","Jake Voskuhl","2004-05",23
"184","Jalen Rose","2004-05",9
"185","Jamaal Magloire","2004-05",23
"186","Jamaal Tinsley","2004-05",9
"187","Jamal Crawford","2004-05",11
"188","Jamal Sampson","2004-05",23
"189","Jameer Nelson","2004-05",8
"190","James Jones","2004-05",10
"191","James Posey","2004-05",18
"192","James Thomas","2004-05",7
"193","Jamison Brewer","2004-05",18
"194","Jannero Pargo","2004-05",13
"195","Jared Jeffries","2004-05",3
"196","Jared Reiner","2004-05",20
"197","Jarron Collins","2004-05",3
"198","Jarvis Hayes","2004-05",8
"199","Jason Collier","2004-05",12
"200","Jason Collins","2004-05",20
"201","Jason Hart","2004-05",2
"202","Jason Kapono","2004-05",13
"203","Jason Kidd","2004-05",17
"204","Jason Richardson","2004-05",9
"205","Jason Terry","2004-05",19
"206","Jason Williams","2004-05",10
"207","Jeff Foster","2004-05",23
"208","Jeff McInnis","2004-05",19
"209","Jelani McCoy","2004-05",7
"210","Jermaine Jackson","2004-05",21
"211","Jermaine O'Neal","2004-05",4
"212","Jerome James","2004-05",20
"213","Jerome Moiso","2004-05",23
"214","Jerome Williams","2004-05",3
"215","Jerry Stackhouse","2004-05",24
"216","Jim Jackson","2004-05",10
"217","Jiri Welsch","2004-05",15
"218","Joe Johnson","2004-05",8
"219","Joe Smith","2004-05",12
"220","Joel Przybilla","2004-05",23
"221","John Edwards","2004-05",3
"222","John Salmons","2004-05",18
"223","John Thomas","2004-05",3
"224","Jon Barry","2004-05",18
"225","Jonathan Bender","2004-05",2
"226","Josh Childress","2004-05",3
"227","Josh Davis","2004-05",17
"228","Josh Howard","2004-05",15
"229","Josh Smith","2004-05",16
"230","Juan Dixon","2004-05",9
"231","Jumaine Jones","2004-05",17
"232","Junior Harrington","2004-05",2
"233","Justin Reed","2004-05",3
"234","Juwan Howard","2004-05",12
"235","Kaniel Dickens","2004-05",10
"236","Kareem Rush","2004-05",8
"237","Kedrick Brown","2004-05",3
"238","Keith Bogans","2004-05",2
"239","Keith McLeod","2004-05",2
"240","Keith Van Horn","2004-05",15
"241","Kelvin Cato","2004-05",23
"242","Kendall Gill","2004-05",2
"243","Kendrick Perkins","2004-05",23
"244","Kenny Anderson","2004-05",21
"245","Kenny Thomas","2004-05",12
"246","Kenyon Martin","2004-05",16
"247","Kerry Kittles","2004-05",8
"248","Kevin Garnett","2004-05",4
"249","Kevin Martin","2004-05",3
"250","Kevin Ollie","2004-05",21
"251","Kevin Willis","2004-05",20
"252","Keyon Dooling","2004-05",19
"253","Kirk Hinrich","2004-05",9
"254","Kirk Penney","2004-05",14
"255","Kirk Snyder","2004-05",15
"256","Kobe Bryant","2004-05",24
"257","Kris Humphries","2004-05",16
"258","Kurt Thomas","2004-05",12
"259","Kwame Brown","2004-05",16
"260","Kyle Korver","2004-05",10
"261","Lamar Odom","2004-05",23
"262","Lamond Murray","2004-05",15
"263","Laron Profit","2004-05",15
"264","Larry Hughes","2004-05",24
"265","Latrell Sprewell","2004-05",2
"266","Lawrence Funderburke","2004-05",3
"267","Leandro Barbosa","2004-05",18
"268","LeBron James","2004-05",24
"269","Lee Nailon","2004-05",22
"270","Lindsey Hunter","2004-05",19
"271","Linton Johnson","2004-05",17
"272","Lionel Chalmers","2004-05",18
"273","Lonny Baxter","2004-05",7
"274","Loren Woods","2004-05",23
"275","Lorenzen Wright","2004-05",12
"276","Lucious Harris","2004-05",8
"277","Luis Flores","2004-05",19
"278","Luke Jackson","2004-05",13
"279","Luke Ridnour","2004-05",19
"280","Luke Walton","2004-05",18
"281","Luol Deng","2004-05",15
"282","Maciej Lampe","2004-05",12
"283","Malik Allen","2004-05",22
"284","Malik Rose","2004-05",16
"285","Mamadou N'diaye","2004-05",7
"286","Manu Ginobili","2004-05",24
"287","Marc Jackson","2004-05",16
"288","Marcus Banks","2004-05",3
"289","Marcus Camby","2004-05",12
"290","Marcus Fizer","2004-05",12
"291","Marcus Haislip","2004-05",2
"292","Mario Kasun","2004-05",7
"293","Mark Blount","2004-05",12
"294","Mark Jones","2004-05",2
"295","Mark Madsen","2004-05",7
"296","Mark Pope","2004-05",7
"297","Marko Jaric","2004-05",19
"298","Marquis Daniels","2004-05",2
"299","Mateen Cleaves","2004-05",21
"300","Matt Barnes","2004-05",3
"301","Matt Bonner","2004-05",8
"302","Matt Carroll","2004-05",24
"303","Matt Freije","2004-05",8
"304","Matt Harpring","2004-05",16
"305","Maurice Baker","2004-05",21
"306","Maurice Evans","2004-05",15
"307","Maurice Taylor","2004-05",12
"308","Mehmet Okur","2004-05",16
"309","Melvin Ely","2004-05",3
"310","Metta World Peace","2004-05",16
"311","Michael Bradley","2004-05",20
"312","Michael Curry","2004-05",21
"313","Michael Doleac","2004-05",12
"314","Michael Finley","2004-05",8
"315","Michael Olowokandi","2004-05",20
"316","Michael Redd","2004-05",2
"317","Michael Ruffin","2004-05",7
"318","Michael Stewart","2004-05",7
"319","Michael Sweetney","2004-05",23
"320","Mickael Pietrus","2004-05",9
"321","Mike Bibby","2004-05",9
"322","Mike Dunleavy","2004-05",15
"323","Mike James","2004-05",9
"324","Mike Miller","2004-05",10
"325","Mike Wilks","2004-05",19
"326","Mikki Moore","2004-05",3
"327","Milt Palacio","2004-05",21
"328","Mo Williams","2004-05",2
"329","Moochie Norris","2004-05",2
"330","Morris Peterson","2004-05",18
"331","Nazr Mohammed","2004-05",23
"332","Ndudi Ebi","2004-05",16
"333","Nenad Krstic","2004-05",3
"334","Nene","2004-05",23
"335","Nick Collison","2004-05",7
"336","Nick Van Exel","2004-05",10
"337","Nikoloz Tskitishvili","2004-05",8
"338","Obinna Ekezie","2004-05",16
"339","Omar Cook","2004-05",2
"340","Othella Harrington","2004-05",16
"341","P.J. Brown","2004-05",12
"342","Pape Sow","2004-05",20
"343","Pat Garrity","2004-05",10
"344","Pau Gasol","2004-05",16
"345","Paul Pierce","2004-05",24
"346","Paul Shirley","2004-05",22
"347","Pavel Podkolzin","2004-05",25
"348","Peja Stojakovic","2004-05",9
"349","Peter Ramos","2004-05",22
"350","Predrag Drobnjak","2004-05",2
"351","Primoz Brezec","2004-05",16
"352","Quentin Richardson","2004-05",10
"353","Quinton Ross","2004-05",21
"354","Qyntel Woods","2004-05",12
"355","Raef LaFrentz","2004-05",17
"356","Rafael Araujo","2004-05",20
"357","Rafer Alston","2004-05",18
"358","Raja Bell","2004-05",2
"359","Randy Livingston","2004-05",21
"360","Rashard Lewis","2004-05",9
"361","Rasheed Wallace","2004-05",15
"362","Rasho Nesterovic","2004-05",20
"363","Rasual Butler","2004-05",8
"364","Raul Lopez","2004-05",19
"365","Ray Allen","2004-05",9
"366","Reece Gaines","2004-05",19
"367","Reggie Evans","2004-05",23
"368","Reggie Miller","2004-05",9
"369","Richard Hamilton","2004-05",2
"370","Richard Jefferson","2004-05",24
"371","Richie Frahm","2004-05",10
"372","Rick Brunson","2004-05",19
"373","Ricky Davis","2004-05",2
"374","Robert Horry","2004-05",18
"375","Robert Swift","2004-05",3
"376","Robert Traylor","2004-05",20
"377","Rod Strickland","2004-05",21
"378","Rodney Buford","2004-05",8
"379","Rodney Rogers","2004-05",17
"380","Rodney White","2004-05",8
"381","Ron Mercer","2004-05",22
"382","Ronald Dupree","2004-05",20
"383","Ronald Murray","2004-05",9
"384","Royal Ivey","2004-05",21
"385","Ruben Patterson","2004-05",3
"386","Ryan Bowen","2004-05",21
"387","Ryan Humphrey","2004-05",16
"388","Sam Cassell","2004-05",22
"389","Samaki Walker","2004-05",21
"390","Samuel Dalembert","2004-05",23
"391","Sasha Pavlovic","2004-05",19
"392","Sasha Vujacic","2004-05",10
"393","Scot Pollard","2004-05",20
"394","Scott Padgett","2004-05",17
"395","Scott Williams","2004-05",20
"396","Sean Marks","2004-05",12
"397","Sebastian Telfair","2004-05",2
"398","Shandon Anderson","2004-05",20
"399","Shane Battier","2004-05",18
"400","Shaquille O'Neal","2004-05",6
"401","Shareef Abdur-Rahim","2004-05",16
"402","Shaun Livingston","2004-05",21
"403","Shawn Bradley","2004-05",20
"404","Shawn Marion","2004-05",17
"405","Slava Medvedenko","2004-05",22
"406","Smush Parker","2004-05",19
"407","Speedy Claxton","2004-05",2
"408","Stacey Augmon","2004-05",3
"409","Stephen Jackson","2004-05",9
"410","Stephon Marbury","2004-05",9
"411","Steve Blake","2004-05",10
"412","Steve Francis","2004-05",24
"413","Steve Nash","2004-05",19
"414","Steven Hunter","2004-05",3
"415","Steven Smith","2004-05",9
"416","Stromile Swift","2004-05",16
"417","Tamar Slay","2004-05",13
"418","Tayshaun Prince","2004-05",15
"419","Theo Ratliff","2004-05",20
"420","Theron Smith","2004-05",12
"421","Tierre Brown","2004-05",19
"422","Tim Duncan","2004-05",4
"423","Tim Thomas","2004-05",15
"424","Tom Gugliotta","2004-05",12
"425","Toni Kukoc","2004-05",18
"426","Tony Allen","2004-05",3
"427","Tony Battie","2004-05",20
"428","Tony Bobbitt","2004-05",13
"429","Tony Delk","2004-05",9
"430","Tony Massenburg","2004-05",20
"431","Tony Parker","2004-05",2
"432","Torraye Braggs","2004-05",7
"433","Tracy McGrady","2004-05",24
"434","Travis Best","2004-05",19
"435","Travis Outlaw","2004-05",2
"436","Tremaine Fowlkes","2004-05",8
"437","Trenton Hassell","2004-05",21
"438","Trevor Ariza","2004-05",3
"439","Troy Hudson","2004-05",19
"440","Troy Murphy","2004-05",16
"441","Tyronn Lue","2004-05",19
"442","Tyson Chandler","2004-05",23
"443","Udonis Haslem","2004-05",20
"444","Viktor Khryapa","2004-05",20
"445","Vin Baker","2004-05",20
"446","Vince Carter","2004-05",24
"447","Vitaly Potapenko","2004-05",20
"448","Vlade Divac","2004-05",7
"449","Vladimir Radmanovic","2004-05",10
"450","Voshon Lenard","2004-05",11
"451","Wally Szczerbiak","2004-05",2
"452","Walter McCarty","2004-05",10
"453","Wang Zhi-zhi","2004-05",16
"454","Wesley Person","2004-05",8
"455","Willie Green","2004-05",9
"456","Yao Ming","2004-05",23
"457","Yuta Tabuse","2004-05",24
"458","Zach Randolph","2004-05",4
"459","Zarko Cabarkapa","2004-05",15
"460","Zaza Pachulia","2004-05",23
"461","Zeljko Rebraca","2004-05",20
"462","Zendon Hamilton","2004-05",6
"463","Zoran Planinic","2004-05",15
"464","Zydrunas Ilgauskas","2004-05",16
"465","Aaron McKie","2005-06",18
"466","Aaron Miles","2005-06",18
"467","Aaron Williams","2005-06",10
"468","Adonal Foyle","2005-06",10
"469","Adrian Griffin","2005-06",18
"470","Al Harrington","2005-06",21
"471","Al Jefferson","2005-06",15
"472","Alan Anderson","2005-06",3
"473","Alan Henderson","2005-06",22
"474","Alex Acker","2005-06",11
"475","Allen Iverson","2005-06",2
"476","Alonzo Mourning","2005-06",15
"477","Alvin Williams","2005-06",16
"478","Amar'e Stoudemire","2005-06",24
"479","Amir Johnson","2005-06",3
"480","Anderson Varejao","2005-06",15
"481","Andray Blatche","2005-06",21
"482","Andre Barrett","2005-06",4
"483","Andre Iguodala","2005-06",13
"484","Andre Miller","2005-06",6
"485","Andre Owens","2005-06",4
"486","Andrei Kirilenko","2005-06",6
"487","Andres Nocioni","2005-06",21
"488","Andrew Bogut","2005-06",13
"489","Andrew Bynum","2005-06",10
"490","Andris Biedrins","2005-06",10
"491","Anfernee Hardaway","2005-06",18
"492","Antawn Jamison","2005-06",21
"493","Anthony Carter","2005-06",4
"494","Anthony Goldwire","2005-06",11
"495","Anthony Grundy","2005-06",19
"496","Anthony Johnson","2005-06",4
"497","Anthony Roberson","2005-06",11
"498","Antoine Walker","2005-06",19
"499","Antoine Wright","2005-06",3
"500","Antonio Burks","2005-06",4
"501","Antonio Daniels","2005-06",6
"502","Antonio Davis","2005-06",13
"503","Antonio McDyess","2005-06",24
"504","Arvydas Macijauskas","2005-06",8
"505","Austin Croshere","2005-06",19
"506","Awvee Storey","2005-06",21
"507","Baron Davis","2005-06",12
"508","Ben Gordon","2005-06",8
"509","Ben Wallace","2005-06",22
"510","Beno Udrih","2005-06",8
"511","Bernard Robinson","2005-06",13
"512","Billy Thomas","2005-06",25
"513","Bo Outlaw","2005-06",10
"514","Bobby Jackson","2005-06",12
"515","Bobby Simmons","2005-06",8
"516","Boniface N'Dong","2005-06",24
"517","Bonzi Wells","2005-06",7
"518","Boris Diaw","2005-06",7
"519","Bostjan Nachbar","2005-06",25
"520","Bracey Wright","2005-06",8
"521","Brad Miller","2005-06",21
"522","Brandon Bass","2005-06",23
"523","Brendan Haywood","2005-06",13
"524","Brent Barry","2005-06",25
"525","Brevin Knight","2005-06",14
"526","Brian Cardinal","2005-06",18
"527","Brian Cook","2005-06",21
"528","Brian Grant","2005-06",24
"529","Brian Scalabrine","2005-06",3
"530","Brian Skinner","2005-06",10
"531","Bruce Bowen","2005-06",3
"532","Bryon Russell","2005-06",20
"533","Calbert Cheaney","2005-06",18
"534","Calvin Booth","2005-06",10
"535","Carlos Arroyo","2005-06",14
"536","Carlos Boozer","2005-06",23
"537","Carlos Delfino","2005-06",3
"538","Carmelo Anthony","2005-06",2
"539","Caron Butler","2005-06",21
"540","Channing Frye","2005-06",24
"541","Charles Hayes","2005-06",22
"542","Charles Smith","2005-06",25
"543","Charlie Bell","2005-06",3
"544","Charlie Villanueva","2005-06",19
"545","Chauncey Billups","2005-06",12
"546","Chris Andersen","2005-06",15
"547","Chris Bosh","2005-06",2
"548","Chris Duhon","2005-06",25
"549","Chris Kaman","2005-06",22
"550","Chris Mihm","2005-06",7
"551","Chris Paul","2005-06",6
"552","Chris Taft","2005-06",10
"553","Chris Webber","2005-06",24
"554","Chris Wilcox","2005-06",23
"555","Chucky Atkins","2005-06",25
"556","CJ Miles","2005-06",21
"557","Clifford Robinson","2005-06",3
"558","Corey Maggette","2005-06",2
"559","Corliss Williamson","2005-06",7
"560","Cuttino Mobley","2005-06",8
"561","Dahntay Jones","2005-06",4
"562","Dale Davis","2005-06",22
"563","Damien Wilkins","2005-06",4
"564","Damon Jones","2005-06",25
"565","Damon Stoudamire","2005-06",3
"566","Dan Dickau","2005-06",3
"567","Dan Gadzuric","2005-06",10
"568","Daniel Ewing","2005-06",3
"569","Danny Fortson","2005-06",15
"570","Danny Granger","2005-06",18
"571","Darius Miles","2005-06",14
"572","Darius Songaila","2005-06",24
"573","Darko Milicic","2005-06",7
"574","Darrell Armstrong","2005-06",3
"575","Darrick Martin","2005-06",3
"576","David Harrison","2005-06",15
"577","David Lee","2005-06",22
"578","David Wesley","2005-06",3
"579","David West","2005-06",24
"580","Delonte West","2005-06",3
"581","Derek Anderson","2005-06",12
"582","Derek Fisher","2005-06",8
"583","DerMarr Johnson","2005-06",25
"584","Deron Williams","2005-06",11
"585","Derrick Zimmerman","2005-06",18
"586","DeSagana Diop","2005-06",10
"587","DeShawn Stevenson","2005-06",4
"588","Desmond Mason","2005-06",6
"589","Devean George","2005-06",19
"590","Devin Brown","2005-06",6
"591","Devin Green","2005-06",7
"592","Devin Harris","2005-06",6
"593","Dijon Thompson","2005-06",19
"594","Dikembe Mutombo","2005-06",22
"595","Dirk Nowitzki","2005-06",2
"596","DJ Mbenga","2005-06",10
"597","Donell Taylor","2005-06",4
"598","Donta Smith","2005-06",13
"599","Donyell Marshall","2005-06",19
"600","Dorell Wright","2005-06",21
"601","Doug Christie","2005-06",4
"602","Drew Gooden","2005-06",23
"603","Dwayne Jones","2005-06",22
"604","Dwight Howard","2005-06",1
"605","Dwyane Wade","2005-06",2
"606","Earl Barron","2005-06",24
"607","Earl Boykins","2005-06",8
"608","Earl Watson","2005-06",25
"609","Eddie Basden","2005-06",13
"610","Eddie Gill","2005-06",12
"611","Eddie Griffin","2005-06",23
"612","Eddie House","2005-06",11
"613","Eddie Jones","2005-06",25
"614","Eddy Curry","2005-06",1
"615","Eduardo Najera","2005-06",13
"616","Elton Brand","2005-06",24
"617","Emeka Okafor","2005-06",23
"618","Eric Piatkowski","2005-06",25
"619","Eric Snow","2005-06",18
"620","Eric Williams","2005-06",18
"621","Erick Dampier","2005-06",22
"622","Ervin Johnson","2005-06",10
"623","Esteban Batista","2005-06",22
"624","Etan Thomas","2005-06",13
"625","Fabricio Oberto","2005-06",10
"626","Francisco Elson","2005-06",10
"627","Francisco Garcia","2005-06",3
"628","Fred Jones","2005-06",3
"629","Gary Payton","2005-06",3
"630","Gerald Fitch","2005-06",8
"631","Gerald Green","2005-06",14
"632","Gerald Wallace","2005-06",15
"633","Gilbert Arenas","2005-06",2
"634","Gordan Giricek","2005-06",14
"635","Grant Hill","2005-06",14
"636","Greg Buckner","2005-06",25
"637","Greg Ostertag","2005-06",10
"638","Ha Seung-Jin","2005-06",10
"639","Hakim Warrick","2005-06",7
"640","Hedo Turkoglu","2005-06",8
"641","Howard Eisley","2005-06",3
"642","Ike Diogu","2005-06",15
"643","Ime Udoka","2005-06",18
"644","Ira Newble","2005-06",18
"645","J.R. Smith","2005-06",12
"646","Jackie Butler","2005-06",15
"647","Jackson Vroman","2005-06",13
"648","Jacque Vaughn","2005-06",4
"649","Jake Tsakalidis","2005-06",22
"650","Jake Voskuhl","2005-06",24
"651","Jalen Rose","2005-06",8
"652","Jamaal Magloire","2005-06",22
"653","Jamaal Tinsley","2005-06",4
"654","Jamal Crawford","2005-06",8
"655","Jamal Sampson","2005-06",20
"656","Jameer Nelson","2005-06",8
"657","James Jones","2005-06",19
"658","James Posey","2005-06",19
"659","James Singleton","2005-06",10
"660","James Thomas","2005-06",22
"661","Jannero Pargo","2005-06",11
"662","Jared Jeffries","2005-06",13
"663","Jarrett Jack","2005-06",4
"664","Jarron Collins","2005-06",13
"665","Jarvis Hayes","2005-06",11
"666","Jason Collins","2005-06",18
"667","Jason Hart","2005-06",4
"668","Jason Kapono","2005-06",11
"669","Jason Kidd","2005-06",19
"670","Jason Maxiell","2005-06",2
"671","Jason Richardson","2005-06",12
"672","Jason Terry","2005-06",11
"673","Jason Williams","2005-06",25
"674","Jeff Foster","2005-06",22
"675","Jeff McInnis","2005-06",4
"676","Jermaine Jackson","2005-06",18
"677","Jermaine O'Neal","2005-06",2
"678","Jerome James","2005-06",7
"679","Jerry Stackhouse","2005-06",8
"680","Jim Jackson","2005-06",11
"681","Jiri Welsch","2005-06",4
"682","Joe Johnson","2005-06",8
"683","Joe Smith","2005-06",24
"684","Joel Przybilla","2005-06",22
"685","Joey Graham","2005-06",18
"686","Johan Petro","2005-06",10
"687","John Edwards","2005-06",10
"688","John Lucas III","2005-06",11
"689","John Salmons","2005-06",4
"690","John Thomas","2005-06",10
"691","Jon Barry","2005-06",3
"692","Jonathan Bender","2005-06",10
"693","Jose Calderon","2005-06",4
"694","Josh Childress","2005-06",13
"695","Josh Davis","2005-06",12
"696","Josh Howard","2005-06",21
"697","Josh Powell","2005-06",13
"698","Josh Smith","2005-06",7
"699","Juan Dixon","2005-06",14
"700","Julius Hodge","2005-06",15
"701","Jumaine Jones","2005-06",19
"702","Justin Reed","2005-06",7
"703","Juwan Howard","2005-06",24
"704","Kareem Rush","2005-06",11
"705","Keith Bogans","2005-06",3
"706","Keith McLeod","2005-06",4
"707","Keith Van Horn","2005-06",19
"708","Kelvin Cato","2005-06",7
"709","Kendrick Perkins","2005-06",22
"710","Kenny Thomas","2005-06",23
"711","Kenyon Martin","2005-06",23
"712","Kevin Burleson","2005-06",25
"713","Kevin Garnett","2005-06",23
"714","Kevin Martin","2005-06",3
"715","Kevin Ollie","2005-06",18
"716","Keyon Dooling","2005-06",14
"717","Kirk Hinrich","2005-06",8
"718","Kirk Snyder","2005-06",3
"719","Kobe Bryant","2005-06",2
"720","Kris Humphries","2005-06",23
"721","Kurt Thomas","2005-06",23
"722","Kwame Brown","2005-06",13
"723","Kyle Korver","2005-06",25
"724","Lamar Odom","2005-06",13
"725","Lamond Murray","2005-06",19
"726","Laron Profit","2005-06",3
"727","Larry Hughes","2005-06",14
"728","Lawrence Roberts","2005-06",15
"729","Leandro Barbosa","2005-06",3
"730","LeBron James","2005-06",2
"731","Lee Nailon","2005-06",24
"732","Linas Kleiza","2005-06",7
"733","Lindsey Hunter","2005-06",25
"734","Linton Johnson","2005-06",18
"735","Lonny Baxter","2005-06",22
"736","Loren Woods","2005-06",22
"737","Lorenzen Wright","2005-06",13
"738","Lou Williams","2005-06",6
"739","Luke Jackson","2005-06",3
"740","Luke Ridnour","2005-06",4
"741","Luke Schenscher","2005-06",13
"742","Luke Walton","2005-06",18
"743","Luol Deng","2005-06",21
"744","Luther Head","2005-06",25
"745","Maciej Lampe","2005-06",23
"746","Malik Allen","2005-06",24
"747","Malik Rose","2005-06",7
"748","Manu Ginobili","2005-06",6
"749","Marc Jackson","2005-06",24
"750","Marcus Banks","2005-06",4
"751","Marcus Camby","2005-06",23
"752","Marcus Fizer","2005-06",24
"753","Mario Kasun","2005-06",15
"754","Mark Blount","2005-06",7
"755","Mark Madsen","2005-06",10
"756","Marko Jaric","2005-06",3
"757","Marquis Daniels","2005-06",4
"758","Martell Webster","2005-06",25
"759","Martynas Andriuskevicius","2005-06",20
